claim_id;activity_instance;activity;Inicio;Fin;resource;result;type;value;agent;.order
566;17095;Check Contract;31-07-2009;01-08-2009;Assistant 9;OK;NA;NA;NA;12002
566;17096;Franchise?;01-08-2009;01-08-2009;Assistant 9;By client;NA;NA;NA;12003
566;17097;Covered?;03-08-2009;03-08-2009;Assistant 9;OK;NA;NA;NA;12004
566;17098;Acceptance Decision;08-08-2009;08-08-2009;Manager 3;NA;NA;NA;NA;12005
566;17099;Start Investigation;20-08-2009;20-08-2009;Assistant 9;NA;NA;NA;NA;12006
566;17100;Appoint Lawyer;29-08-2009;29-08-2009;Manager 3;NA;NA;NA;NA;12007
566;17101;Appoint Expert;29-08-2009;29-08-2009;Manager 3;NA;NA;NA;NA;12008
566;17102;Receive Conclusion Lawyer;18-09-2009;18-09-2009;Assistant 9;NA;NA;NA;NA;12009
566;17103;Receive Conclusion Expert;28-09-2009;28-09-2009;Assistant 9;NA;NA;NA;NA;12010
566;17104;Pay Back Decision;08-10-2009;09-10-2009;Manager 3;NA;NA;NA;NA;12011
566;17105;Pay Claim;23-11-2009;23-11-2009;Assistant 9;NA;NA;NA;NA;12012
567;17106;Accident;21-07-2009;21-07-2009;Client x;NA;NA;NA;NA;12013
567;17107;File Claim;29-07-2009;29-07-2009;Client x;NA;House;10850;Agent G;12014
567;17108;Check Contract;01-08-2009;02-08-2009;Assistant 9;OK;NA;NA;NA;12015
567;17109;Franchise?;02-08-2009;02-08-2009;Assistant 9;By client;NA;NA;NA;12016
567;17110;Covered?;04-08-2009;04-08-2009;Assistant 9;OK;NA;NA;NA;12017
567;17111;Acceptance Decision;09-08-2009;09-08-2009;Manager 3;NA;NA;NA;NA;12018
567;17112;Start Investigation;21-08-2009;21-08-2009;Assistant 9;NA;NA;NA;NA;12019
567;17113;Appoint Lawyer;30-08-2009;30-08-2009;Manager 3;NA;NA;NA;NA;12020
567;17114;Appoint Expert;30-08-2009;30-08-2009;Manager 3;NA;NA;NA;NA;12021
567;17115;Receive Conclusion Lawyer;19-09-2009;19-09-2009;Assistant 9;NA;NA;NA;NA;12022
567;17116;Receive Conclusion Expert;29-09-2009;29-09-2009;Assistant 9;NA;NA;NA;NA;12023
567;17117;Pay Back Decision;09-10-2009;10-10-2009;Manager 3;NA;NA;NA;NA;12024
567;17118;Pay Claim;24-11-2009;24-11-2009;Assistant 9;NA;NA;NA;NA;12025
568;17119;Accident;22-07-2009;22-07-2009;Client x;NA;NA;NA;NA;12026
568;17120;File Claim;30-07-2009;30-07-2009;Client x;NA;Car;2375;Agent H;12027
568;17121;Check Contract;02-08-2009;03-08-2009;Assistant 9;OK;NA;NA;NA;12028
568;17122;Franchise?;03-08-2009;03-08-2009;Assistant 9;By client;NA;NA;NA;12029
568;17123;Covered?;05-08-2009;05-08-2009;Assistant 9;OK;NA;NA;NA;12030
568;17124;Acceptance Decision;10-08-2009;10-08-2009;Manager 3;NA;NA;NA;NA;12031
568;17125;Start Investigation;22-08-2009;22-08-2009;Assistant 9;NA;NA;NA;NA;12032
568;17126;Appoint Lawyer;31-08-2009;31-08-2009;Manager 3;NA;NA;NA;NA;12033
568;17127;Appoint Expert;31-08-2009;31-08-2009;Manager 3;NA;NA;NA;NA;12034
568;17128;Receive Conclusion Lawyer;20-09-2009;20-09-2009;Assistant 9;NA;NA;NA;NA;12035
568;17129;Receive Conclusion Expert;30-09-2009;30-09-2009;Assistant 9;NA;NA;NA;NA;12036
568;17130;Pay Back Decision;10-10-2009;11-10-2009;Manager 3;NA;NA;NA;NA;12037
568;17131;Pay Claim;25-11-2009;25-11-2009;Assistant 9;NA;NA;NA;NA;12038
569;17132;Accident;23-07-2009;23-07-2009;Client x;NA;NA;NA;NA;12039
569;17133;File Claim;31-07-2009;31-07-2009;Client x;NA;Car;2380;Agent I;12040
569;17134;Check Contract;03-08-2009;04-08-2009;Assistant 9;OK;NA;NA;NA;12041
569;17135;Franchise?;04-08-2009;04-08-2009;Assistant 9;By client;NA;NA;NA;12042
569;17136;Covered?;06-08-2009;06-08-2009;Assistant 9;OK;NA;NA;NA;12043
569;17137;Acceptance Decision;11-08-2009;11-08-2009;Manager 3;NA;NA;NA;NA;12044
569;17138;Start Investigation;23-08-2009;23-08-2009;Assistant 9;NA;NA;NA;NA;12045
569;17139;Appoint Lawyer;01-09-2009;01-09-2009;Manager 3;NA;NA;NA;NA;12046
569;17140;Appoint Expert;01-09-2009;01-09-2009;Manager 3;NA;NA;NA;NA;12047
569;17141;Receive Conclusion Lawyer;21-09-2009;21-09-2009;Assistant 9;NA;NA;NA;NA;12048
569;17142;Receive Conclusion Expert;01-10-2009;01-10-2009;Assistant 9;NA;NA;NA;NA;12049
569;17143;Pay Back Decision;11-10-2009;12-10-2009;Manager 3;NA;NA;NA;NA;12050
569;17144;Pay Claim;26-11-2009;26-11-2009;Assistant 9;NA;NA;NA;NA;12051
570;17145;Accident;24-07-2009;24-07-2009;Client x;NA;NA;NA;NA;12052
570;17146;File Claim;01-08-2009;01-08-2009;Client x;NA;Car;2385;Agent D;12053
570;17147;Check Contract;04-08-2009;05-08-2009;Assistant 9;OK;NA;NA;NA;12054
570;17148;Franchise?;05-08-2009;05-08-2009;Assistant 9;By client;NA;NA;NA;12055
570;17149;Covered?;07-08-2009;07-08-2009;Assistant 9;OK;NA;NA;NA;12056
570;17150;Acceptance Decision;12-08-2009;12-08-2009;Manager 3;NA;NA;NA;NA;12057
570;17151;Start Investigation;24-08-2009;24-08-2009;Assistant 9;NA;NA;NA;NA;12058
570;17152;Appoint Lawyer;02-09-2009;02-09-2009;Manager 3;NA;NA;NA;NA;12059
570;17153;Appoint Expert;02-09-2009;02-09-2009;Manager 3;NA;NA;NA;NA;12060
570;17154;Receive Conclusion Lawyer;22-09-2009;22-09-2009;Assistant 9;NA;NA;NA;NA;12061
570;17155;Receive Conclusion Expert;02-10-2009;02-10-2009;Assistant 9;NA;NA;NA;NA;12062
570;17156;Pay Back Decision;12-10-2009;13-10-2009;Manager 3;NA;NA;NA;NA;12063
570;17157;Pay Claim;27-11-2009;27-11-2009;Assistant 9;NA;NA;NA;NA;12064
571;17158;Accident;25-07-2009;25-07-2009;Client x;NA;NA;NA;NA;12065
571;17159;File Claim;02-08-2009;02-08-2009;Client x;NA;Car;2390;Agent E;12066
571;17160;Check Contract;05-08-2009;06-08-2009;Assistant 9;OK;NA;NA;NA;12067
571;17161;Franchise?;06-08-2009;06-08-2009;Assistant 9;By client;NA;NA;NA;12068
571;17162;Covered?;08-08-2009;08-08-2009;Assistant 9;OK;NA;NA;NA;12069
571;17163;Acceptance Decision;13-08-2009;13-08-2009;Manager 3;NA;NA;NA;NA;12070
571;17164;Start Investigation;25-08-2009;25-08-2009;Assistant 9;NA;NA;NA;NA;12071
571;17165;Appoint Lawyer;03-09-2009;03-09-2009;Manager 3;NA;NA;NA;NA;12072
571;17166;Appoint Expert;03-09-2009;03-09-2009;Manager 3;NA;NA;NA;NA;12073
571;17167;Receive Conclusion Lawyer;23-09-2009;23-09-2009;Assistant 9;NA;NA;NA;NA;12074
571;17168;Receive Conclusion Expert;03-10-2009;03-10-2009;Assistant 9;NA;NA;NA;NA;12075
571;17169;Pay Back Decision;13-10-2009;14-10-2009;Manager 3;NA;NA;NA;NA;12076
571;17170;Pay Claim;28-11-2009;28-11-2009;Assistant 9;NA;NA;NA;NA;12077
572;17171;Accident;26-07-2009;26-07-2009;Client x;NA;NA;NA;NA;12078
572;17172;File Claim;03-08-2009;03-08-2009;Client x;NA;Health;7600;Agent H;12079
572;17173;Check Contract;06-08-2009;07-08-2009;Assistant 9;OK;NA;NA;NA;12080
572;17174;Franchise?;07-08-2009;07-08-2009;Assistant 9;By client;NA;NA;NA;12081
572;17175;Covered?;09-08-2009;09-08-2009;Assistant 9;OK;NA;NA;NA;12082
572;17176;Acceptance Decision;14-08-2009;14-08-2009;Manager 3;NA;NA;NA;NA;12083
572;17177;Reject Claim;17-08-2009;17-08-2009;Manager 3;NA;NA;NA;NA;12084
573;17178;Accident;27-07-2009;27-07-2009;Client x;NA;NA;NA;NA;12085
573;17179;File Claim;04-08-2009;04-08-2009;Client x;NA;Health;7650;Agent H;12086
573;17180;Check Contract;07-08-2009;08-08-2009;Assistant 9;OK;NA;NA;NA;12087
573;17181;Franchise?;08-08-2009;08-08-2009;Assistant 9;By client;NA;NA;NA;12088
573;17182;Covered?;10-08-2009;10-08-2009;Assistant 9;NOK;NA;NA;NA;12089
573;17183;Acceptance Decision;15-08-2009;15-08-2009;Manager 3;NA;NA;NA;NA;12090
573;17184;Reject Claim;18-08-2009;18-08-2009;Manager 3;NA;NA;NA;NA;12091
574;17185;Accident;28-07-2009;28-07-2009;Client x;NA;NA;NA;NA;12092
574;17186;File Claim;05-08-2009;05-08-2009;Client x;NA;House;11000;Agent H;12093
574;17187;Check Contract;08-08-2009;09-08-2009;Assistant 9;OK;NA;NA;NA;12094
574;17188;Franchise?;09-08-2009;09-08-2009;Assistant 9;By client;NA;NA;NA;12095
574;17189;Covered?;11-08-2009;11-08-2009;Assistant 9;OK;NA;NA;NA;12096
574;17190;Acceptance Decision;16-08-2009;16-08-2009;Manager 3;NA;NA;NA;NA;12097
574;17191;Start Investigation;28-08-2009;28-08-2009;Assistant 9;NA;NA;NA;NA;12098
574;17192;Appoint Lawyer;06-09-2009;06-09-2009;Manager 3;NA;NA;NA;NA;12099
574;17193;Appoint Expert;06-09-2009;06-09-2009;Manager 3;NA;NA;NA;NA;12100
574;17194;Receive Conclusion Lawyer;26-09-2009;26-09-2009;Assistant 9;NA;NA;NA;NA;12101
574;17195;Receive Conclusion Expert;06-10-2009;06-10-2009;Assistant 9;NA;NA;NA;NA;12102
574;17196;Pay Back Decision;16-10-2009;17-10-2009;Manager 3;NA;NA;NA;NA;12103
574;17197;No Refund;27-10-2009;28-10-2009;Manager 3;NA;NA;NA;NA;12104
575;17198;Accident;29-07-2009;29-07-2009;Client x;NA;NA;NA;NA;12105
575;17199;File Claim;06-08-2009;06-08-2009;Client x;NA;Car;2395;Agent F;12106
575;17200;Check Contract;09-08-2009;10-08-2009;Assistant 9;OK;NA;NA;NA;12107
575;17201;Franchise?;10-08-2009;10-08-2009;Assistant 9;By client;NA;NA;NA;12108
575;17202;Covered?;12-08-2009;12-08-2009;Assistant 9;NOK;NA;NA;NA;12109
575;17203;Acceptance Decision;17-08-2009;17-08-2009;Manager 3;NA;NA;NA;NA;12110
575;17204;Reject Claim;20-08-2009;20-08-2009;Manager 3;NA;NA;NA;NA;12111
576;17205;Accident;30-07-2009;30-07-2009;Client x;NA;NA;NA;NA;12112
576;17206;File Claim;07-08-2009;07-08-2009;Client x;NA;Car;2400;Agent A;12113
576;17207;Check Contract;10-08-2009;11-08-2009;Assistant 9;OK;NA;NA;NA;12114
576;17208;Franchise?;11-08-2009;11-08-2009;Assistant 9;By client;NA;NA;NA;12115
576;17209;Covered?;13-08-2009;13-08-2009;Assistant 9;OK;NA;NA;NA;12116
576;17210;Acceptance Decision;18-08-2009;18-08-2009;Manager 3;NA;NA;NA;NA;12117
576;17211;Start Investigation;30-08-2009;30-08-2009;Assistant 9;NA;NA;NA;NA;12118
576;17212;Appoint Lawyer;08-09-2009;08-09-2009;Manager 3;NA;NA;NA;NA;12119
576;17213;Appoint Expert;08-09-2009;08-09-2009;Manager 3;NA;NA;NA;NA;12120
576;17214;Receive Conclusion Lawyer;28-09-2009;28-09-2009;Assistant 9;NA;NA;NA;NA;12121
576;17215;Receive Conclusion Expert;08-10-2009;08-10-2009;Assistant 9;NA;NA;NA;NA;12122
576;17216;Pay Back Decision;18-10-2009;19-10-2009;Manager 3;NA;NA;NA;NA;12123
576;17217;Pay Claim;03-12-2009;03-12-2009;Assistant 9;NA;NA;NA;NA;12124
577;17218;Accident;31-07-2009;31-07-2009;Client x;NA;NA;NA;NA;12125
577;17219;File Claim;08-08-2009;08-08-2009;Client x;NA;Car;2405;Agent B;12126
577;17220;Check Contract;11-08-2009;12-08-2009;Assistant 9;OK;NA;NA;NA;12127
577;17221;Franchise?;12-08-2009;12-08-2009;Assistant 9;By client;NA;NA;NA;12128
577;17222;Covered?;14-08-2009;14-08-2009;Assistant 9;OK;NA;NA;NA;12129
577;17223;Acceptance Decision;19-08-2009;19-08-2009;Manager 3;NA;NA;NA;NA;12130
577;17224;Start Investigation;31-08-2009;31-08-2009;Assistant 9;NA;NA;NA;NA;12131
577;17225;Appoint Lawyer;09-09-2009;09-09-2009;Manager 3;NA;NA;NA;NA;12132
577;17226;Appoint Expert;09-09-2009;09-09-2009;Manager 3;NA;NA;NA;NA;12133
577;17227;Receive Conclusion Lawyer;29-09-2009;29-09-2009;Assistant 9;NA;NA;NA;NA;12134
577;17228;Receive Conclusion Expert;09-10-2009;09-10-2009;Assistant 9;NA;NA;NA;NA;12135
577;17229;Pay Back Decision;19-10-2009;20-10-2009;Manager 3;NA;NA;NA;NA;12136
577;17230;Pay Claim;04-12-2009;04-12-2009;Assistant 9;NA;NA;NA;NA;12137
578;17231;Accident;01-08-2009;01-08-2009;Client x;NA;NA;NA;NA;12138
578;17232;File Claim;09-08-2009;09-08-2009;Client x;NA;Car;2410;Agent C;12139
578;17233;Check Contract;12-08-2009;13-08-2009;Assistant 9;OK;NA;NA;NA;12140
578;17234;Franchise?;13-08-2009;13-08-2009;Assistant 9;By client;NA;NA;NA;12141
578;17235;Covered?;15-08-2009;15-08-2009;Assistant 9;OK;NA;NA;NA;12142
578;17236;Acceptance Decision;20-08-2009;20-08-2009;Manager 3;NA;NA;NA;NA;12143
578;17237;Start Investigation;01-09-2009;01-09-2009;Assistant 9;NA;NA;NA;NA;12144
578;17238;Appoint Lawyer;10-09-2009;10-09-2009;Manager 3;NA;NA;NA;NA;12145
578;17239;Appoint Expert;10-09-2009;10-09-2009;Manager 3;NA;NA;NA;NA;12146
578;17240;Receive Conclusion Lawyer;30-09-2009;30-09-2009;Assistant 9;NA;NA;NA;NA;12147
578;17241;Receive Conclusion Expert;10-10-2009;10-10-2009;Assistant 9;NA;NA;NA;NA;12148
578;17242;Pay Back Decision;20-10-2009;21-10-2009;Manager 3;NA;NA;NA;NA;12149
578;17243;Pay Claim;05-12-2009;05-12-2009;Assistant 9;NA;NA;NA;NA;12150
579;17244;Accident;02-08-2009;02-08-2009;Client x;NA;NA;NA;NA;12151
579;17245;File Claim;10-08-2009;10-08-2009;Client x;NA;Car;2415;Agent D;12152
579;17246;Check Contract;13-08-2009;14-08-2009;Assistant 9;OK;NA;NA;NA;12153
579;17247;Franchise?;14-08-2009;14-08-2009;Assistant 9;By client;NA;NA;NA;12154
579;17248;Covered?;16-08-2009;16-08-2009;Assistant 9;OK;NA;NA;NA;12155
579;17249;Acceptance Decision;21-08-2009;21-08-2009;Manager 3;NA;NA;NA;NA;12156
579;17250;Start Investigation;02-09-2009;02-09-2009;Assistant 9;NA;NA;NA;NA;12157
579;17251;Appoint Lawyer;11-09-2009;11-09-2009;Manager 3;NA;NA;NA;NA;12158
579;17252;Appoint Expert;11-09-2009;11-09-2009;Manager 3;NA;NA;NA;NA;12159
579;17253;Receive Conclusion Lawyer;01-10-2009;01-10-2009;Assistant 9;NA;NA;NA;NA;12160
579;17254;Receive Conclusion Expert;11-10-2009;11-10-2009;Assistant 9;NA;NA;NA;NA;12161
579;17255;Pay Back Decision;21-10-2009;22-10-2009;Manager 3;NA;NA;NA;NA;12162
579;17256;Pay Claim;06-12-2009;06-12-2009;Assistant 9;NA;NA;NA;NA;12163
580;17257;Accident;03-08-2009;03-08-2009;Client x;NA;NA;NA;NA;12164
580;17258;File Claim;11-08-2009;11-08-2009;Client x;NA;Health;7700;Agent H;12165
580;17259;Check Contract;14-08-2009;15-08-2009;Assistant 9;OK;NA;NA;NA;12166
580;17260;Franchise?;15-08-2009;15-08-2009;Assistant 9;By client;NA;NA;NA;12167
580;17261;Covered?;17-08-2009;17-08-2009;Assistant 9;OK;NA;NA;NA;12168
580;17262;Acceptance Decision;22-08-2009;22-08-2009;Manager 3;NA;NA;NA;NA;12169
580;17263;Start Investigation;03-09-2009;03-09-2009;Assistant 9;NA;NA;NA;NA;12170
580;17264;Appoint Lawyer;12-09-2009;12-09-2009;Manager 3;NA;NA;NA;NA;12171
580;17265;Appoint Expert;12-09-2009;12-09-2009;Manager 3;NA;NA;NA;NA;12172
580;17266;Receive Conclusion Lawyer;02-10-2009;02-10-2009;Assistant 9;NA;NA;NA;NA;12173
580;17267;Receive Conclusion Expert;12-10-2009;12-10-2009;Assistant 9;NA;NA;NA;NA;12174
580;17268;Pay Back Decision;22-10-2009;23-10-2009;Manager 3;NA;NA;NA;NA;12175
580;17269;Pay Claim;07-12-2009;07-12-2009;Assistant 9;NA;NA;NA;NA;12176
581;17270;Accident;04-08-2009;04-08-2009;Client x;NA;NA;NA;NA;12177
581;17271;File Claim;12-08-2009;12-08-2009;Client x;NA;House;11150;Agent H;12178
581;17272;Check Contract;15-08-2009;16-08-2009;Assistant 9;OK;NA;NA;NA;12179
581;17273;Franchise?;16-08-2009;16-08-2009;Assistant 9;By client;NA;NA;NA;12180
581;17274;Covered?;18-08-2009;18-08-2009;Assistant 9;OK;NA;NA;NA;12181
581;17275;Acceptance Decision;23-08-2009;23-08-2009;Manager 3;NA;NA;NA;NA;12182
581;17276;Start Investigation;04-09-2009;04-09-2009;Assistant 9;NA;NA;NA;NA;12183
581;17277;Appoint Lawyer;13-09-2009;13-09-2009;Manager 3;NA;NA;NA;NA;12184
581;17278;Appoint Expert;13-09-2009;13-09-2009;Manager 3;NA;NA;NA;NA;12185
581;17279;Receive Conclusion Lawyer;03-10-2009;03-10-2009;Assistant 9;NA;NA;NA;NA;12186
581;17280;Receive Conclusion Expert;13-10-2009;13-10-2009;Assistant 9;NA;NA;NA;NA;12187
581;17281;Pay Back Decision;23-10-2009;24-10-2009;Manager 3;NA;NA;NA;NA;12188
581;17282;Pay Claim;08-12-2009;08-12-2009;Assistant 9;NA;NA;NA;NA;12189
582;17283;Accident;05-08-2009;05-08-2009;Client x;NA;NA;NA;NA;12190
582;17284;File Claim;13-08-2009;13-08-2009;Client x;NA;Car;2420;Agent E;12191
582;17285;Check Contract;16-08-2009;17-08-2009;Assistant 9;OK;NA;NA;NA;12192
582;17286;Franchise?;17-08-2009;17-08-2009;Assistant 9;By client;NA;NA;NA;12193
582;17287;Covered?;19-08-2009;19-08-2009;Assistant 9;OK;NA;NA;NA;12194
582;17288;Acceptance Decision;24-08-2009;24-08-2009;Manager 3;NA;NA;NA;NA;12195
582;17289;Start Investigation;05-09-2009;05-09-2009;Assistant 9;NA;NA;NA;NA;12196
582;17290;Appoint Lawyer;14-09-2009;14-09-2009;Manager 3;NA;NA;NA;NA;12197
582;17291;Appoint Expert;14-09-2009;14-09-2009;Manager 3;NA;NA;NA;NA;12198
582;17292;Receive Conclusion Lawyer;04-10-2009;04-10-2009;Assistant 9;NA;NA;NA;NA;12199
582;17293;Receive Conclusion Expert;14-10-2009;14-10-2009;Assistant 9;NA;NA;NA;NA;12200
582;17294;Pay Back Decision;24-10-2009;25-10-2009;Manager 3;NA;NA;NA;NA;12201
582;17295;Pay Claim;09-12-2009;09-12-2009;Assistant 9;NA;NA;NA;NA;12202
583;17296;Accident;06-08-2009;06-08-2009;Client x;NA;NA;NA;NA;12203
583;17297;File Claim;14-08-2009;14-08-2009;Client x;NA;Car;2425;Agent F;12204
583;17298;Check Contract;17-08-2009;18-08-2009;Assistant 9;OK;NA;NA;NA;12205
583;17299;Franchise?;18-08-2009;18-08-2009;Assistant 9;By client;NA;NA;NA;12206
583;17300;Covered?;20-08-2009;20-08-2009;Assistant 9;OK;NA;NA;NA;12207
583;17301;Acceptance Decision;25-08-2009;25-08-2009;Manager 3;NA;NA;NA;NA;12208
583;17302;Start Investigation;06-09-2009;06-09-2009;Assistant 9;NA;NA;NA;NA;12209
583;17303;Appoint Lawyer;15-09-2009;15-09-2009;Manager 3;NA;NA;NA;NA;12210
583;17304;Appoint Expert;15-09-2009;15-09-2009;Manager 3;NA;NA;NA;NA;12211
583;17305;Receive Conclusion Lawyer;05-10-2009;05-10-2009;Assistant 9;NA;NA;NA;NA;12212
583;17306;Receive Conclusion Expert;15-10-2009;15-10-2009;Assistant 9;NA;NA;NA;NA;12213
583;17307;Pay Back Decision;25-10-2009;26-10-2009;Manager 3;NA;NA;NA;NA;12214
583;17308;Pay Claim;10-12-2009;10-12-2009;Assistant 9;NA;NA;NA;NA;12215
584;17309;Accident;07-08-2009;07-08-2009;Client x;NA;NA;NA;NA;12216
584;17310;File Claim;15-08-2009;15-08-2009;Client x;NA;Car;2430;Agent G;12217
584;17311;Check Contract;18-08-2009;19-08-2009;Assistant 9;OK;NA;NA;NA;12218
584;17312;Franchise?;19-08-2009;19-08-2009;Assistant 9;By client;NA;NA;NA;12219
584;17313;Covered?;21-08-2009;21-08-2009;Assistant 9;OK;NA;NA;NA;12220
584;17314;Acceptance Decision;26-08-2009;26-08-2009;Manager 3;NA;NA;NA;NA;12221
584;17315;Start Investigation;07-09-2009;07-09-2009;Assistant 9;NA;NA;NA;NA;12222
584;17316;Appoint Lawyer;16-09-2009;16-09-2009;Manager 3;NA;NA;NA;NA;12223
584;17317;Appoint Expert;16-09-2009;16-09-2009;Manager 3;NA;NA;NA;NA;12224
584;17318;Receive Conclusion Lawyer;06-10-2009;06-10-2009;Assistant 9;NA;NA;NA;NA;12225
584;17319;Receive Conclusion Expert;16-10-2009;16-10-2009;Assistant 9;NA;NA;NA;NA;12226
584;17320;Pay Back Decision;26-10-2009;27-10-2009;Manager 3;NA;NA;NA;NA;12227
584;17321;No Refund;06-11-2009;07-11-2009;Manager 3;NA;NA;NA;NA;12228
585;17322;Accident;08-08-2009;08-08-2009;Client x;NA;NA;NA;NA;12229
585;17323;File Claim;16-08-2009;16-08-2009;Client x;NA;Car;2435;Agent H;12230
585;17324;Check Contract;19-08-2009;20-08-2009;Assistant 9;OK;NA;NA;NA;12231
585;17325;Franchise?;20-08-2009;20-08-2009;Assistant 9;By client;NA;NA;NA;12232
585;17326;Covered?;22-08-2009;22-08-2009;Assistant 9;OK;NA;NA;NA;12233
585;17327;Acceptance Decision;27-08-2009;27-08-2009;Manager 3;NA;NA;NA;NA;12234
585;17328;Start Investigation;08-09-2009;08-09-2009;Assistant 9;NA;NA;NA;NA;12235
585;17329;Appoint Lawyer;17-09-2009;17-09-2009;Manager 3;NA;NA;NA;NA;12236
585;17330;Appoint Expert;17-09-2009;17-09-2009;Manager 3;NA;NA;NA;NA;12237
585;17331;Receive Conclusion Lawyer;07-10-2009;07-10-2009;Assistant 9;NA;NA;NA;NA;12238
585;17332;Receive Conclusion Expert;17-10-2009;17-10-2009;Assistant 9;NA;NA;NA;NA;12239
585;17333;Pay Back Decision;27-10-2009;28-10-2009;Manager 3;NA;NA;NA;NA;12240
585;17334;No Refund;07-11-2009;08-11-2009;Manager 3;NA;NA;NA;NA;12241
586;17335;Accident;09-08-2009;09-08-2009;Client x;NA;NA;NA;NA;12242
586;17336;File Claim;17-08-2009;17-08-2009;Client x;NA;Car;2440;Agent H;12243
586;17337;Check Contract;20-08-2009;21-08-2009;Assistant 9;OK;NA;NA;NA;12244
586;17338;Franchise?;21-08-2009;21-08-2009;Assistant 9;By client;NA;NA;NA;12245
586;17339;Covered?;23-08-2009;23-08-2009;Assistant 9;OK;NA;NA;NA;12246
586;17340;Acceptance Decision;28-08-2009;28-08-2009;Manager 3;NA;NA;NA;NA;12247
586;17341;Start Investigation;09-09-2009;09-09-2009;Assistant 9;NA;NA;NA;NA;12248
586;17342;Appoint Lawyer;18-09-2009;18-09-2009;Manager 3;NA;NA;NA;NA;12249
586;17343;Appoint Expert;18-09-2009;18-09-2009;Manager 3;NA;NA;NA;NA;12250
586;17344;Receive Conclusion Lawyer;08-10-2009;08-10-2009;Assistant 9;NA;NA;NA;NA;12251
586;17345;Receive Conclusion Expert;18-10-2009;18-10-2009;Assistant 9;NA;NA;NA;NA;12252
586;17346;Pay Back Decision;28-10-2009;29-10-2009;Manager 3;NA;NA;NA;NA;12253
586;17347;Pay Claim;13-12-2009;13-12-2009;Assistant 9;NA;NA;NA;NA;12254
587;17348;Accident;10-08-2009;10-08-2009;Client x;NA;NA;NA;NA;12255
587;17349;File Claim;18-08-2009;18-08-2009;Client x;NA;Health;7750;Agent H;12256
587;17350;Check Contract;21-08-2009;22-08-2009;Assistant 9;OK;NA;NA;NA;12257
587;17351;Franchise?;22-08-2009;22-08-2009;Assistant 9;By client;NA;NA;NA;12258
587;17352;Covered?;24-08-2009;24-08-2009;Assistant 9;OK;NA;NA;NA;12259
587;17353;Acceptance Decision;29-08-2009;29-08-2009;Manager 3;NA;NA;NA;NA;12260
587;17354;Start Investigation;10-09-2009;10-09-2009;Assistant 9;NA;NA;NA;NA;12261
587;17355;Appoint Lawyer;19-09-2009;19-09-2009;Manager 3;NA;NA;NA;NA;12262
587;17356;Appoint Expert;19-09-2009;19-09-2009;Manager 3;NA;NA;NA;NA;12263
587;17357;Receive Conclusion Lawyer;09-10-2009;09-10-2009;Assistant 9;NA;NA;NA;NA;12264
587;17358;Receive Conclusion Expert;19-10-2009;19-10-2009;Assistant 9;NA;NA;NA;NA;12265
587;17359;Pay Back Decision;29-10-2009;30-10-2009;Manager 3;NA;NA;NA;NA;12266
587;17360;Pay Claim;14-12-2009;14-12-2009;Assistant 9;NA;NA;NA;NA;12267
588;17361;Accident;11-08-2009;11-08-2009;Client x;NA;NA;NA;NA;12268
588;17362;File Claim;19-08-2009;19-08-2009;Client x;NA;Health;7800;Agent I;12269
588;17363;Check Contract;22-08-2009;23-08-2009;Assistant 9;OK;NA;NA;NA;12270
588;17364;Franchise?;23-08-2009;23-08-2009;Assistant 9;By client;NA;NA;NA;12271
588;17365;Covered?;25-08-2009;25-08-2009;Assistant 9;OK;NA;NA;NA;12272
588;17366;Acceptance Decision;30-08-2009;30-08-2009;Manager 3;NA;NA;NA;NA;12273
588;17367;Start Investigation;11-09-2009;11-09-2009;Assistant 9;NA;NA;NA;NA;12274
588;17368;Appoint Lawyer;20-09-2009;20-09-2009;Manager 3;NA;NA;NA;NA;12275
588;17369;Appoint Expert;20-09-2009;20-09-2009;Manager 3;NA;NA;NA;NA;12276
588;17370;Receive Conclusion Lawyer;10-10-2009;10-10-2009;Assistant 9;NA;NA;NA;NA;12277
588;17371;Receive Conclusion Expert;20-10-2009;20-10-2009;Assistant 9;NA;NA;NA;NA;12278
588;17372;Pay Back Decision;30-10-2009;31-10-2009;Manager 3;NA;NA;NA;NA;12279
588;17373;Pay Claim;15-12-2009;15-12-2009;Assistant 9;NA;NA;NA;NA;12280
589;17374;Accident;12-08-2009;12-08-2009;Client x;NA;NA;NA;NA;12281
589;17375;File Claim;20-08-2009;20-08-2009;Client x;NA;House;11300;Agent H;12282
589;17376;Check Contract;23-08-2009;24-08-2009;Assistant 9;OK;NA;NA;NA;12283
589;17377;Franchise?;24-08-2009;24-08-2009;Assistant 9;By client;NA;NA;NA;12284
589;17378;Covered?;26-08-2009;26-08-2009;Assistant 9;OK;NA;NA;NA;12285
589;17379;Acceptance Decision;31-08-2009;31-08-2009;Manager 3;NA;NA;NA;NA;12286
589;17380;Start Investigation;12-09-2009;12-09-2009;Assistant 9;NA;NA;NA;NA;12287
589;17381;Appoint Lawyer;21-09-2009;21-09-2009;Manager 3;NA;NA;NA;NA;12288
589;17382;Appoint Expert;21-09-2009;21-09-2009;Manager 3;NA;NA;NA;NA;12289
589;17383;Receive Conclusion Lawyer;11-10-2009;11-10-2009;Assistant 9;NA;NA;NA;NA;12290
589;17384;Receive Conclusion Expert;21-10-2009;21-10-2009;Assistant 9;NA;NA;NA;NA;12291
